-1.93970, -1.21396, -0.82251, 2.80920, 0.23248, -0.46695, 0.93456, 1.44613, 
1.01832, -1.64372, 2.24751, -0.94158, -0.66628, 1.72770, 0.92534, -2.85810, 
-2.76504, 2.88372, -2.96188, 1.58371, -2.22268, -0.39637, -2.39967, 2.39763, 
-0.24042, -1.68281, 1.97719, -1.91904, -0.48673, -1.82014, 1.02701, 0.36310, 
0.86912, 1.14943, 1.14285, -1.99196, 2.29152, -0.46037, 0.00068, -0.63641, 
-1.84032, -1.83395, 2.53901, -1.92320, 0.77572, 0.13094, -0.18857, -0.92261, 
2.59419, -1.95266, -1.09418, 2.94138, -0.04374, 2.26154, -1.49364, 2.97352, 
1.88447, -1.74006, -0.67265, -0.44724, 0.82108, -2.15806, -1.37315, -1.87181

2.49120, -2.20433, -2.65289, 1.19864, 1.06691, 2.92455, 0.48545, -1.56707, 
-0.98555, 0.04517, 2.79767, -1.40371, -2.65398, 0.92636, -0.15530, -2.07262, 
2.48379, 2.15816, -1.43078, -0.80497, 1.02289, 1.73161, -1.48674, 1.55644, 
1.75096, -1.49458, 0.16741, 2.77574, 1.48031, -2.65115, 0.83594, 0.68015, 
2.35330, -0.88205, 1.80430, -0.34461, 1.72310, -0.55444, -2.41900, 2.91827,     
0.52594, 0.04767, 1.11572, 0.56231, -0.81024, -2.45573, -1.71637, -1.48464,     
-2.61606, 2.74327, -2.87873, -0.68084, -1.27350, 0.81427, 2.10805, -0.54463,    
-0.38251, 1.94941, -2.92835, -2.35169, -2.38902, 0.70959, -0.68090, -0.13013

-0.56753, 1.73628, 0.15746, 1.48096, -2.84029, -1.62871, -1.58085, 2.09430, 
1.42917, 1.44402, -1.39945, -2.22318, -0.88604, 0.52300, -0.21688, 0.18859,     
-0.76582, 1.78887, -0.30195, 1.82087, 0.64185, 0.22355, 1.60051, -2.80512,      
-1.21670, -0.84352, -0.91584, 2.87810, 2.90087, 2.00380, 2.78088, -2.86879,     
-1.71696, 2.09517, 1.51171, -0.78647, 1.21859, -1.69983, -0.97934, 0.39940,     
2.23504, 2.79464, 1.94788, -0.06263, -1.03613, -0.60468, -0.22874, 0.32165,     
-1.83234, 2.31537, -0.78040, -0.65026, -2.20771, -0.57764, -1.37519, 2.19309,   
1.06590, -0.85360, 0.49618, 1.49630, 1.53426, 1.06082, 1.22889, 2.52642

-2.88654, 1.56596, 1.13745, 0.57542, -1.06119, 1.20812, -1.91449, 0.28133, 
2.95555, -1.11608, -1.30447, -2.77932, 1.74482, 1.18293, 0.49892, 0.29534,      
-2.71028, -1.68941, -1.08090, -2.54016, -2.46181, 2.91375, 2.68738, 2.60648,    
0.81791, 0.16580, -2.69656, -1.24172, -1.44227, 2.58286, -0.28793, -2.24774,    
-0.96277, -0.96342, -2.57247, 2.86217, 2.16354, -0.04254, -1.36892, 2.38046,    
0.97033, -0.08690, 0.11237, 1.27035, -0.04518, 1.41672, -0.02291, 2.24767,      
