Sample in Buffer,Sample in Window,TRIGGER,clk_IBUF_BUFG,valid_in,in_x_flat[1023:0],en,valid_out,prob_flat[1023:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,1,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,3,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,4,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,5,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,6,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,7,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,8,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,9,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,10,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,11,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,12,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,13,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,14,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,15,0,0,0,f83efb25fcb60b3d00eefe2203bd05c90413f96d08fdfc3cfd5606e903b4f491f4f10b89f4270656f71cfe6af6670997ff0af94507e9f853fe0ef8b8041c0174037a04990492f808092bfe290001fd74f8a4f8aa0a28f84f031a0086ff3ffc4f0a60f830fba00bc4ffd3090cfa070be5078af90afd4ffe360349f75efa82f883,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
